1,216.68,200.85,15.83,4799.15
2,216.68,201.48,15.20,4597.67
3,216.68,202.12,14.56,4395.55
4,216.68,202.76,13.92,4192.79
5,216.68,203.40,13.28,3989.39
6,216.68,204.05,12.63,3785.34
7,216.68,204.69,11.99,3580.65
8,216.68,205.34,11.34,3375.31
9,216.68,205.99,10.69,3169.32
10,216.68,206.64,10.04,2962.67
11,216.68,207.30,9.38,2755.37
12,216.68,207.95,8.73,2547.42
13,216.68,208.61,8.07,2338.81
14,216.68,209.27,7.41,2129.53
15,216.68,209.94,6.74,1919.60
16,216.68,210.60,6.08,1709.00
17,216.68,211.27,5.41,1497.73
18,216.68,211.94,4.74,1285.79
19,216.68,212.61,4.07,1073.18
20,216.68,213.28,3.40,859.90
21,216.68,213.96,2.72,645.94
22,216.68,214.63,2.05,431.31
23,216.68,215.31,1.37,216.00
24,216.68,216.00,0.68,0.00
